# Last modified: 23-03-2017@22:10:04
# LRG	HGNC_SYMBOL	REFSEQ_GENOMIC	LRG_TRANSCRIPT	REFSEQ_TRANSCRIPT	ENSEMBL_TRANSCRIPT	CCDS
LRG_566	MCFD2	NG_016428.2	t2	NM_001171507.2	-	CCDS33192.1
LRG_566	MCFD2	NG_016428.2	t3	NM_001171508.2	-	CCDS33192.1
LRG_566	MCFD2	NG_016428.2	t4	NM_139279.5	-	CCDS33192.1
LRG_567	MYH9	NG_011884.2	t1	NM_002473.5	-	CCDS13927.1
LRG_568	NBEAL2	NG_031914.1	t1	NM_015175.2	-	CCDS46817.1
LRG_569	P2RY12	NG_016019.1	t1	NM_022788.4	-	CCDS3159.1
LRG_570	PLAT	NG_023264.1	t1	NM_000930.3	-	CCDS6126.1
LRG_571	PLG	NG_016200.1	t1	NM_000301.3	-	CCDS5279.1
LRG_571	PLG	NG_016200.1	t2	NM_001168338.1	-	CCDS55074.1
LRG_572	PROS1	NG_009813.1	t1	NM_000313.3	-	CCDS2923.1
LRG_572	PROS1	NG_009813.1	t2	NM_001314077.1	-	-
LRG_574	RBM8A	NG_032654.2	t1	NM_005105.4	ENST00000583313.6	CCDS72872.1
LRG_577	SERPINC1	NG_012462.1	t1	NM_000488.3	-	CCDS1313.1
LRG_578	TBXA2R	NG_013363.1	t1	NM_001060.5	-	CCDS42467.1
LRG_579	TBXAS1	NG_008422.2	t1	NM_001130966.2	-	CCDS5855.1
LRG_579	TBXAS1	NG_008422.2	t2	NM_030984.3	-	CCDS5856.1
LRG_579	TBXAS1	NG_008422.2	t3	NM_001166254.1	-	CCDS55175.1
LRG_579	TBXAS1	NG_008422.2	t4	NM_001166253.1	-	CCDS55174.1
LRG_581	TUBB1	NG_023424.2	t1	NM_030773.3	ENST00000217133.1	CCDS13475.1
LRG_582	VKORC1	NG_011564.1	t1	NM_024006.5	-	CCDS10703.1
LRG_583	F11	NG_008051.1	t1	NM_000128.3	-	CCDS3847.1
LRG_585	FGG	NG_008834.1	t1	NM_000509.5	-	CCDS47153.1
LRG_585	FGG	NG_008834.1	t2	NM_021870.2	-	CCDS3788.1
LRG_586	HPS5	NG_008877.1	t1	NM_181507.1	-	CCDS7836.1
LRG_587	VWF	NG_009072.1	t1	NM_000552.3	-	CCDS8539.1
LRG_588	DTNBP1	NG_009309.1	t1	NM_032122.4	-	CCDS4534.1
LRG_588	DTNBP1	NG_009309.1	t2	NM_183040.2	-	CCDS4535.1
LRG_589	ENG	NG_009551.1	t1	NM_000118.3	-	CCDS6880.1
LRG_589	ENG	NG_009551.1	t2	NM_001114753.2	-	CCDS48029.1
LRG_590	HPS4	NG_009763.2	t1	NM_022081.5	-	CCDS13835.1
LRG_590	HPS4	NG_009763.2	t2	NM_152841.2	-	CCDS46677.1
LRG_592	GGCX	NG_011811.2	t1	NM_000821.6	-	CCDS1978.1
LRG_593	PLAU	NG_011904.1	t1	NM_002658.3	-	CCDS7339.1
LRG_593	PLAU	NG_011904.1	t2	NM_001145031.1	-	CCDS44442.1
LRG_594	SERPIND1	NG_012076.1	t1	NM_000185.3	-	CCDS13783.1
LRG_595	LMAN1	NG_012097.1	t1	NM_005570.3	-	CCDS11974.1
LRG_596	PLA2G4A	NG_012203.1	t1	NM_024420.2	-	CCDS1372.1
LRG_597	SERPINE1	NG_013213.1	t1	NM_000602.4	ENST00000223095.4	CCDS5711.1
LRG_599	PROC	NG_016323.1	t1	NM_000312.3	-	CCDS2145.1
LRG_600	CHST14	NG_017074.1	t1	NM_130468.3	-	CCDS10059.1
LRG_601	HRG	NG_021485.2	t1	NM_000412.4	ENST00000232003.4	CCDS3280.1
LRG_602	NBEA	NG_028156.1	t1	NM_015678.4	-	CCDS45026.1
LRG_602	NBEA	NG_028156.1	t2	NM_001204197.1	-	CCDS55894.1
LRG_605	ANKRD26	NG_031973.2	t1	NM_014915.2	-	CCDS41499.1
LRG_607	TYROBP	NG_009304.1	t1	NM_003332.3	-	CCDS12482.1
LRG_608	CBL	NG_016808.1	t1	NM_005188.3	ENST00000264033.5	CCDS8418.1
LRG_609	ETV6	NG_011443.1	t1	NM_001987.4	ENST00000396373.8	CCDS8643.1
LRG_610	IDH1	NG_023319.2	t1	NM_005896.3	-	CCDS2381.1
LRG_610	IDH1	NG_023319.2	t2	NM_001282387.1	-	CCDS2381.1
LRG_610	IDH1	NG_023319.2	t3	NM_001282386.1	-	CCDS2381.1
LRG_611	IDH2	NG_023302.1	t1	NM_001289910.1	-	CCDS76792.1
LRG_611	IDH2	NG_023302.1	t2	NM_002168.3	-	CCDS10359.1
LRG_612	JAK2	NG_009904.1	t1	NM_004972.3	ENST00000381652.3	CCDS6457.1
LRG_613	KMT2A	NG_027813.1	t1	NM_001197104.1	-	CCDS55791.1
LRG_614	PTPN11	NG_007459.1	t1	NM_002834.3	-	CCDS9163.1
LRG_615	U2AF1	NG_029455.1	t1	NM_001025203.1	-	CCDS33574.1
LRG_615	U2AF1	NG_029455.1	t2	NM_006758.2	-	CCDS13694.1
LRG_616	KDM6A	NG_016260.1	t1	NM_001291415.1	-	-
LRG_617	SF1	NG_021399.1	t1	NM_001178030.1	-	CCDS53661.1
LRG_617	SF1	NG_021399.1	t2	NM_001178031.1	-	CCDS53660.1
LRG_617	SF1	NG_021399.1	t3	NM_201995.2	-	CCDS8080.1
LRG_617	SF1	NG_021399.1	t4	NM_201997.2	-	CCDS44642.2
LRG_618	ZRSR2	NG_012746.1	t1	NM_005089.3	-	CCDS14172.1
LRG_619	SOCS3	NG_016851.1	t1	NM_003955.4	-	CCDS11756.1
LRG_620	BCL2L11	NG_029006.1	t1	NM_001204107.1	ENST00000615946.4	CCDS56132.1
LRG_620	BCL2L11	NG_029006.1	t2	NM_001204108.1	ENST00000622509.4	CCDS56135.1
LRG_620	BCL2L11	NG_029006.1	t3	NM_001204113.1	-	CCDS74559.1
LRG_620	BCL2L11	NG_029006.1	t4	NM_138625.3	-	-
LRG_620	BCL2L11	NG_029006.1	t5	NM_207002.3	-	CCDS2092.1
LRG_621	SH2B3	NG_021216.1	t1	NM_005475.2	ENST00000341259.6	CCDS9153.1
LRG_621	SH2B3	NG_021216.1	t2	NM_001291424.1	-	CCDS76602.1
LRG_622	SF3A1	NG_032902.1	t1	NM_005877.4	-	CCDS13875.1
LRG_623	U2AF2	NG_032904.1	t1	NM_007279.2	-	CCDS12933.1
LRG_624	SF3B1	NG_032903.2	t1	NM_001005526.2	-	CCDS46479.1
LRG_624	SF3B1	NG_032903.2	t2	NM_012433.3	-	CCDS33356.1
LRG_624	SF3B1	NG_032903.2	t3	NM_001308824.1	-	CCDS82550.1
LRG_625	PRPF40B	NG_032901.2	t1	NM_001031698.2	-	CCDS31796.2
LRG_625	PRPF40B	NG_032901.2	t2	NM_012272.2	-	-
LRG_626	TET2	NG_028191.1	t1	NM_001127208.2	-	CCDS47120.1
LRG_626	TET2	NG_028191.1	t2	NM_017628.4	ENST00000305737.6	CCDS3666.1
LRG_627	BCOR	NG_008880.1	t1	NM_001123383.1	-	CCDS14250.1
LRG_627	BCOR	NG_008880.1	t2	NM_001123385.1	-	CCDS48093.1
LRG_628	BCORL1	NG_021274.1	t1	NM_021946.4	ENST00000540052.5	CCDS14616.1
LRG_628	BCORL1	NG_021274.1	t2	NM_001184772.2	-	-
LRG_629	PHF6	NG_008886.1	t1	NM_001015877.1	-	CCDS14639.1
LRG_629	PHF6	NG_008886.1	t2	NM_032335.3	-	CCDS14640.1
LRG_630	ASXL1	NG_027868.1	t1	NM_015338.5	-	CCDS13201.1
LRG_630	ASXL1	NG_027868.1	t2	NM_001164603.1	-	-
LRG_631	TREM2	NG_011561.1	t1	NM_018965.3	-	CCDS4852.1
LRG_635	P2RY1	NG_032896.2	t1	NM_002563.4	ENST00000305097.5	CCDS3169.1
LRG_638	PROCR	NG_032899.2	t1	NM_006404.4	-	CCDS13248.1
LRG_640	SRSF2	NG_032905.1	t1	NM_003016.4	-	CCDS11749.1
LRG_641	F2R	NG_032906.1	t1	NM_001992.4	-	CCDS4032.1
LRG_642	AMN	NG_008276.2	t1	NM_030943.3	-	CCDS9977.1
LRG_643	GLDC	NG_016397.1	t1	NM_000170.2	-	CCDS34987.1
LRG_646	FLI1	NG_032912.1	t1	NM_001167681.2	-	CCDS53725.1
LRG_646	FLI1	NG_032912.1	t2	NM_001271010.1	-	CCDS59231.1
LRG_646	FLI1	NG_032912.1	t3	NM_001271012.1	-	CCDS59230.1
LRG_646	FLI1	NG_032912.1	t4	NM_002017.4	-	CCDS44768.1
LRG_650	KRIT1	NG_012964.1	t1	NM_194456.1	ENST00000394507.5	CCDS5624.1
LRG_651	PDCD10	NG_008158.1	t1	NM_007217.3	-	CCDS3202.1
LRG_652	SOD1	NG_008689.1	t1	NM_000454.4	ENST00000270142.10	CCDS33536.1
LRG_653	ANG	NG_008717.2	t1	NM_001145.4	ENST00000336811.10	CCDS9554.1
LRG_654	ALS2	NG_008775.1	t1	NM_020919.3	-	CCDS42800.1
LRG_655	FUS	NG_012889.2	t1	NM_004960.3	ENST00000254108.11	CCDS10707.1
LRG_656	VAPB	NG_008073.2	t1	NM_004738.4	-	CCDS33498.1
LRG_657	VCP	NG_007887.1	t1	NM_007126.3	-	CCDS6573.1
LRG_658	C9orf72	NG_031977.1	t1	NM_001256054.1	ENST00000619707.4	CCDS6522.1
LRG_659	TARDBP	NG_008734.1	t1	NM_007375.3	-	CCDS122.1
LRG_660	MAPT	NG_007398.1	t1	NM_016835.3	-	CCDS11501.1
LRG_661	GRN	NG_007886.1	t1	NM_002087.2	-	CCDS11483.1
LRG_662	MET	NG_008996.1	t1	NM_001127500.1	-	CCDS47689.1
LRG_663	CFTR	NG_016465.4	t1	NM_000492.3	ENST00000003084.10	CCDS5773.1
LRG_664	CCM2	NG_016295.1	t1	NM_001029835.2	-	CCDS34630.1
LRG_664	CCM2	NG_016295.1	t2	NM_031443.3	-	CCDS5500.1
LRG_665	UBQLN2	NG_016249.1	t1	NM_013444.3	-	CCDS14374.1
LRG_666	AFG3L2	NG_023361.1	t1	NM_006796.2	-	CCDS11859.1
LRG_667	PDYN	NG_028027.1	t1	NM_024411.4	-	CCDS13023.1
LRG_668	KCNC3	NG_008134.2	t1	NM_004977.2	ENST00000477616.1	CCDS12793.1
LRG_669	PRKCG	NG_009114.1	t1	NM_002739.3	-	CCDS12867.1
LRG_670	TBX5	NG_007373.1	t1	NM_000192.3	-	CCDS9173.1
LRG_671	NKX2-5	NG_013340.1	t1	NM_004387.3	-	CCDS4387.1
LRG_672	GLA	NG_007119.1	t1	NM_000169.2	-	CCDS14484.1
LRG_673	GAA	NG_009822.1	t1	NM_000152.3	-	CCDS32760.1
LRG_674	SALL1	NG_007990.1	t1	NM_002968.2	-	CCDS10747.1
LRG_675	SALL4	NG_008000.1	t1	NM_020436.3	-	CCDS13438.1
LRG_676	SMN1	NG_008691.1	t1	NM_000344.3	-	CCDS34181.1
LRG_677	SMN2	NG_008728.1	t1	NM_017411.3	-	CCDS4007.1
LRG_677	SMN2	NG_008728.1	t2	NM_022875.2	-	CCDS54867.1
LRG_678	TNNI3K	NG_032939.2	t1	NM_015978.2	-	CCDS664.1
LRG_679	TNNT1	NG_011829.2	t1	NM_003283.4	-	CCDS12917.1
LRG_680	TPM2	NG_011620.1	t1	NM_213674.1	-	CCDS6586.1
LRG_680	TPM2	NG_011620.1	t2	NM_003289.3	-	CCDS6587.1
LRG_681	TPM3	NG_008621.1	t1	NM_001043353.1	-	CCDS41401.1
LRG_681	TPM3	NG_008621.1	t2	NM_152263.2	-	CCDS41403.1
LRG_681	TPM3	NG_008621.1	t3	NM_153649.3	-	CCDS1060.1
LRG_682	KBTBD13	NG_021411.1	t1	NM_001101362.2	-	CCDS45281.1
LRG_683	SLC26A3	NG_008046.1	t1	NM_000111.2	-	CCDS5748.1
LRG_684	SLC26A2	NG_007147.2	t1	NM_000112.3	-	CCDS4300.1
LRG_685	OAT	NG_008861.1	t1	NM_000274.3	-	CCDS7639.1
LRG_686	B9D1	NG_031885.1	t1	NM_001243473.1	-	-
LRG_686	B9D1	NG_031885.1	t2	NM_001243475.1	ENST00000575403.5	CCDS58528.1
LRG_686	B9D1	NG_031885.1	t3	NM_015681.3	-	CCDS11205.1
LRG_687	MKS1	NG_013032.1	t1	NM_017777.3	-	CCDS11603.2
LRG_687	MKS1	NG_013032.1	t2	NM_001165927.1	-	CCDS54148.1
LRG_688	TMEM67	NG_009190.1	t1	NM_153704.5	-	CCDS6258.2
LRG_688	TMEM67	NG_009190.1	t2	NM_001142301.1	-	CCDS47893.1
LRG_689	CLN3	NG_008654.2	t1	NM_000086.2	-	CCDS10632.1
LRG_689	CLN3	NG_008654.2	t2	NM_001042432.1	-	CCDS10632.1
LRG_690	PPT1	NG_009192.1	t1	NM_000310.3	-	CCDS447.1
LRG_691	CLN8	NG_008656.2	t1	NM_018941.3	ENST00000331222.5	CCDS5956.1
LRG_692	CLN5	NG_009064.1	t1	NM_006493.2	-	CCDS9456.1
LRG_693	NPHS1	NG_013356.2	t1	NM_004646.3	-	CCDS32996.1
LRG_694	CEP290	NG_008417.1	t1	NM_025114.3	-	CCDS55858.1
LRG_695	SLC7A7	NG_012851.2	t1	NM_001126105.2	-	CCDS9574.1
LRG_695	SLC7A7	NG_012851.2	t2	NM_001126106.2	ENST00000555702.5	CCDS9574.1
LRG_696	RPGRIP1L	NG_008991.2	t1	NM_001127897.3	-	CCDS45486.1
LRG_696	RPGRIP1L	NG_008991.2	t2	NM_015272.4	-	CCDS32447.1
LRG_697	CC2D2A	NG_013035.1	t1	NM_001080522.2	-	CCDS47026.1
LRG_697	CC2D2A	NG_013035.1	t2	NM_020785.2	-	CCDS47027.2
LRG_698	TMEM216	NG_032976.1	t1	NM_001173990.2	-	CCDS53640.1
LRG_698	TMEM216	NG_032976.1	t2	NM_001173991.2	ENST00000334888.9	-
LRG_698	TMEM216	NG_032976.1	t3	NM_016499.5	-	-
LRG_699	CHM	NG_009874.2	t1	NM_000390.2	ENST00000357749.6	CCDS14454.1
LRG_699	CHM	NG_009874.2	t2	NM_001145414.2	-	CCDS48139.1
LRG_700	CLRN1	NG_009168.1	t1	NM_001195794.1	-	CCDS56285.1
LRG_700	CLRN1	NG_009168.1	t2	NM_052995.2	ENST00000295911.6	CCDS35492.1
LRG_701	POMGNT1	NG_009205.2	t1	NM_001243766.1	-	CCDS57995.1
LRG_701	POMGNT1	NG_009205.2	t2	NM_017739.3	-	CCDS531.1
LRG_702	RS1	NG_008659.3	t1	NM_000330.3	-	CCDS14187.1
LRG_703	SMAD9	NG_016963.1	t1	NM_001127217.2	ENST00000379826.4	CCDS45032.1
LRG_710	SHOX	NG_009385.2	t1	NM_000451.3	ENST00000381578.6	CCDS14107.1
LRG_710	SHOX	NG_009385.2	t2	NM_006883.2	ENST00000334060.8	CCDS14106.1
LRG_712	BMPR2	NG_009363.1	t1	NM_001204.6	-	CCDS33361.1
LRG_713	REEP1	NG_013037.1	t1	NM_001164730.1	-	CCDS54374.1
LRG_713	REEP1	NG_013037.1	t2	NM_022912.2	ENST00000165698.9	CCDS1989.1
LRG_714	SPAST	NG_008730.1	t1	NM_014946.3	-	CCDS1778.1
LRG_715	AVP	NG_008663.1	t1	NM_000490.4	ENST00000380293.3	CCDS13045.1
LRG_716	AVPR2	NG_008687.1	t1	NM_000054.4	-	CCDS14735.1
LRG_717	AQP2	NG_008913.1	t1	NM_000486.5	-	CCDS8792.1
LRG_718	OTX2	NG_008204.1	t1	NM_172337.1	-	CCDS41960.1
LRG_719	SOX2	NG_009080.1	t1	NM_003106.2	-	CCDS3239.1
LRG_720	PAX6	NG_008679.1	t1	NM_000280.3	-	CCDS31451.1
LRG_721	AKT1	NG_012188.1	t1	NM_001014432.1	-	CCDS9994.1
LRG_721	AKT1	NG_012188.1	t2	NM_005163.2	-	CCDS9994.1
LRG_722	DPYD	NG_008807.2	t1	NM_000110.3	-	CCDS30777.1
LRG_722	DPYD	NG_008807.2	t2	NM_001160301.1	-	CCDS53346.1
LRG_723	GSTP1	NG_012075.1	t1	NM_000852.3	-	CCDS41679.1
LRG_724	ERBB2	NG_007503.1	t1	NM_001005862.2	-	CCDS45667.1
LRG_724	ERBB2	NG_007503.1	t2	NM_004448.3	-	CCDS32642.1
LRG_724	ERBB2	NG_007503.1	t3	NM_001289938.1	-	CCDS77017.1
LRG_724	ERBB2	NG_007503.1	t4	NM_001289936.1	-	CCDS74052.1
LRG_725	MAP2K1	NG_008305.1	t1	NM_002755.3	-	CCDS10216.1
LRG_726	MTHFR	NG_013351.1	t1	NM_005957.4	-	CCDS137.1
LRG_727	TYMP	NG_011860.1	t1	NM_001257988.1	-	CCDS14096.1
LRG_727	TYMP	NG_011860.1	t2	NM_001257989.1	-	CCDS58811.1
LRG_728	RBCK1	NG_033233.1	t1	NM_031229.2	-	CCDS13000.2
LRG_729	CARD11	NG_027759.1	t1	NM_032415.5	-	CCDS5336.2
LRG_729	CARD11	NG_027759.1	t2	NM_001324281.1	-	CCDS5336.2
LRG_730	IL36RN	NG_031864.1	t1	NM_173170.1	-	CCDS2111.1
LRG_730	IL36RN	NG_031864.1	t2	NM_012275.2	-	CCDS2111.1
LRG_731	IL21R	NG_012222.1	t1	NM_181079.4	-	-
LRG_732	AP4E1	NG_031875.1	t1	NM_007347.4	-	CCDS32240.1
LRG_733	UGT1A1	NG_033238.1	t1	NM_000463.2	-	CCDS2510.1
LRG_734	MTOR	NG_033239.1	t1	NM_004958.3	-	CCDS127.1
LRG_735	RPSA	NG_033234.1	t1	NM_002295.4	-	CCDS2686.1
LRG_736	RHOH	NG_033255.2	t1	NM_004310.4	-	CCDS3458.1
LRG_737	COL5A1	NG_008030.1	t1	NM_000093.4	-	CCDS6982.1
LRG_737	COL5A1	NG_008030.1	t2	NM_001278074.1	-	CCDS75932.1
LRG_738	COL5A2	NG_011799.2	t1	NM_000393.4	-	CCDS33350.1
LRG_739	FHL1	NG_015895.1	t1	NM_001159702.2	ENST00000394155.6	CCDS55507.1
LRG_739	FHL1	NG_015895.1	t2	NM_001449.4	-	CCDS14655.1
LRG_740	FHL2	NG_008844.2	t1	NM_201555.1	ENST00000530340.5	CCDS2070.1
LRG_740	FHL2	NG_008844.2	t2	NM_201557.3	-	CCDS2070.1
LRG_741	ALMS1	NG_011690.1	t1	NM_015120.4	-	CCDS42697.1
LRG_742	BAG3	NG_016125.1	t1	NM_004281.3	ENST00000369085.7	CCDS7615.1
LRG_743	DNAJC19	NG_022933.1	t1	NM_145261.3	-	CCDS33895.1
LRG_744	DOLK	NG_017009.1	t1	NM_014908.3	-	CCDS6915.1
LRG_745	EMD	NG_008677.1	t1	NM_000117.2	-	CCDS14745.1
LRG_746	GATAD1	NG_032807.1	t1	NM_021167.4	-	CCDS5625.1
LRG_747	HADHA	NG_007121.1	t1	NM_000182.4	ENST00000380649.7	CCDS1721.1
LRG_748	HFE	NG_008720.2	t1	NM_000410.3	-	CCDS4578.1
LRG_749	LAMP2	NG_007995.1	t1	NM_002294.2	-	CCDS14599.1
LRG_749	LAMP2	NG_007995.1	t2	NM_013995.2	-	CCDS14600.1
LRG_749	LAMP2	NG_007995.1	t3	NM_001122606.1	-	CCDS48159.1
LRG_750	MAP2K2	NG_007996.1	t1	NM_030662.3	ENST00000262948.9	CCDS12120.1
LRG_751	NPPA	NG_012926.1	t1	NM_006172.3	ENST00000376480.7	CCDS139.1
LRG_752	PDLIM3	NG_032576.2	t1	NM_014476.5	-	CCDS3844.1
LRG_753	SHOC2	NG_028922.1	t1	NM_007373.3	-	CCDS7568.1
LRG_754	SOS1	NG_007530.1	t1	NM_005633.3	-	CCDS1802.1
LRG_755	TBX20	NG_015805.1	t1	NM_001077653.2	-	CCDS43568.1
LRG_756	DTNA	NG_009201.1	t1	NM_001390.4	ENST00000444659.5	-
LRG_756	DTNA	NG_009201.1	t2	NM_032975.3	ENST00000283365.13	CCDS45848.1
LRG_756	DTNA	NG_009201.1	t3	NM_032978.6	-	CCDS11908.1
LRG_757	TRIM63	NG_033268.1	t1	NM_032588.3	-	CCDS273.1
LRG_758	KLF10	NG_033271.1	t1	NM_005655.3	-	CCDS6294.1
LRG_759	MIB1	NG_033272.2	t1	NM_020774.3	-	CCDS11871.1
LRG_760	MURC	NG_033273.1	t1	NM_001018116.2	-	CCDS35083.1
LRG_761	FKRP	NG_008898.2	t1	NM_024301.4	-	CCDS12691.1
LRG_762	FMR1	NG_007529.2	t1	NM_002024.5	-	CCDS14682.1
LRG_763	HTT	NG_009378.1	t1	NM_002111.8	-	CCDS43206.1
LRG_764	MECP2	NG_007107.2	t1	NM_001110792.1	-	CCDS48193.1
LRG_764	MECP2	NG_007107.2	t2	NM_004992.3	-	CCDS14741.1
LRG_765	POLG	NG_008218.2	t1	NM_002693.2	-	CCDS10350.1
LRG_766	RYR1	NG_008866.1	t1	NM_000540.2	-	CCDS33011.1
LRG_767	APOA1	NG_012021.1	t1	NM_000039.1	-	CCDS8378.1
LRG_768	LYZ	NG_008195.1	t1	NM_000239.2	-	CCDS8989.1
LRG_769	ABL1	NG_012034.1	t1	NM_005157.5	-	CCDS35166.1
LRG_769	ABL1	NG_012034.1	t2	NM_007313.2	-	CCDS35165.1
LRG_770	PPM1D	NG_023265.1	t1	NM_003620.3	ENST00000305921.7	CCDS11625.1
LRG_771	HOXB13	NG_033789.1	t1	NM_006361.5	-	CCDS11536.1
LRG_772	RAD21	NG_032862.1	t1	NM_006265.2	-	CCDS6321.1
LRG_773	SMC1A	NG_006988.2	t1	NM_001281463.1	ENST00000375340.10	CCDS75985.1
LRG_773	SMC1A	NG_006988.2	t2	NM_006306.3	ENST00000322213.8	CCDS14352.1
LRG_774	SMC3	NG_012217.1	t1	NM_005445.3	-	CCDS31285.1
LRG_775	SETD2	NG_032091.1	t1	NM_014159.6	-	CCDS2749.2
LRG_776	MITF	NG_011631.1	t1	NM_000248.3	-	CCDS2913.1
LRG_777	CBS	NG_008938.1	t1	NM_000071.2	-	CCDS13693.1
LRG_778	FBN1	NG_008805.2	t1	NM_000138.4	-	CCDS32232.1
LRG_779	TGFBR2	NG_007490.1	t1	NM_001024847.2	-	CCDS33727.1
LRG_780	EPHB2	NG_011804.2	t1	NM_004442.7	-	CCDS230.1
LRG_780	EPHB2	NG_011804.2	t2	NM_017449.4	-	CCDS229.2
LRG_781	ACTA2	NG_011541.1	t1	NM_001613.2	-	CCDS7392.1
LRG_781	ACTA2	NG_011541.1	t2	NM_001141945.1	-	CCDS7392.1
LRG_782	STAG2	NG_033796.2	t1	NM_001042749.2	-	CCDS43990.1
LRG_782	STAG2	NG_033796.2	t2	NM_001042750.1	-	CCDS43990.1
LRG_782	STAG2	NG_033796.2	t3	NM_001282418.1	-	CCDS14607.1
LRG_783	TYMS	NG_028255.1	t1	NM_001071.2	-	CCDS11821.1
LRG_784	XRCC1	NG_033799.1	t1	NM_006297.2	-	CCDS12624.1
LRG_785	POLD1	NG_033800.1	t1	NM_001256849.1	-	CCDS12795.1
LRG_785	POLD1	NG_033800.1	t2	NM_001308632.1	-	CCDS82381.1
LRG_786	MAPK1	NG_023054.2	t1	NM_002745.4	-	CCDS13795.1
LRG_786	MAPK1	NG_023054.2	t2	NM_138957.3	-	CCDS13795.1
LRG_787	GFPT1	NG_029542.1	t1	NM_001244710.1	ENST00000357308.8	CCDS58713.1
LRG_788	RRM2B	NG_016617.1	t1	NM_001172477.1	-	-
LRG_788	RRM2B	NG_016617.1	t2	NM_015713.4	-	CCDS34932.1
LRG_789	POLE	NG_033840.1	t1	NM_006231.3	-	CCDS9278.1
LRG_790	ABCC8	NG_008867.1	t1	NM_000352.4	ENST00000389817.7	CCDS31437.1
LRG_790	ABCC8	NG_008867.1	t2	NM_001287174.1	-	CCDS73264.1
LRG_791	HAMP	NG_011563.1	t1	NM_021175.3	-	CCDS12454.1
LRG_792	ABO	NG_006669.1	t1	NM_020469.2	-	-
LRG_793	GYPA	NG_007470.3	t1	NM_002099.5	-	CCDS34069.1
LRG_794	GYPB	NG_007483.2	t1	NM_002100.4	-	CCDS54809.1
LRG_795	A4GALT	NG_007495.1	t1	NM_017436.4	-	CCDS14041.1
LRG_796	RHD	NG_007494.1	t1	NM_016124.4	-	CCDS262.1
LRG_797	RHCE	NG_009208.3	t1	NM_020485.4	-	CCDS30635.1
LRG_798	BCAM	NG_007480.1	t1	NM_005581.4	-	CCDS12644.1
LRG_798	BCAM	NG_007480.1	t2	NM_001013257.2	-	CCDS42575.1
LRG_799	KEL	NG_007492.1	t1	NM_000420.2	-	CCDS34766.1
LRG_800	FUT3	NG_007482.1	t1	NM_000149.3	-	CCDS12153.1
LRG_801	ACKR1	NG_011626.2	t1	NM_002036.3	-	CCDS1183.1
LRG_801	ACKR1	NG_011626.2	t2	NM_001122951.2	-	CCDS44252.1
LRG_802	SLC14A1	NG_011775.3	t1	NM_015865.6	ENST00000321925.8	CCDS11925.1
LRG_803	SLC4A1	NG_007498.1	t1	NM_000342.3	-	CCDS11481.1
LRG_804	ACHE	NG_007474.1	t1	NM_015831.2	-	CCDS5710.1
LRG_805	XG	NG_011627.1	t1	NM_175569.2	-	CCDS14120.1
LRG_806	ERMAP	NG_008749.1	t1	NM_001017922.1	-	CCDS475.1
LRG_807	ART4	NG_007477.2	t1	NM_021071.2	-	CCDS8668.1
LRG_808	AQP1	NG_007475.2	t1	NM_198098.3	-	CCDS5431.1
LRG_809	ICAM4	NG_007728.1	t1	NM_001544.4	-	CCDS12232.1
LRG_810	FUT1	NG_007510.2	t1	NM_000148.3	ENST00000310160.7	CCDS12733.1
LRG_810	FUT1	NG_007510.2	t2	NM_001329877.1	-	-
LRG_811	FUT2	NG_007511.1	t1	NM_000511.5	-	CCDS33069.1
LRG_812	XK	NG_007473.2	t1	NM_021083.3	-	CCDS14241.1
LRG_813	GYPC	NG_007479.1	t1	NM_002101.4	-	CCDS2136.1
LRG_814	CR1	NG_007481.1	t1	NM_000573.3	-	CCDS44309.1
LRG_815	CD44	NG_008937.1	t1	NM_001001391.1	ENST00000263398.10	CCDS31457.1
LRG_816	BSG	NG_007468.1	t1	NM_198589.2	-	CCDS12034.1
LRG_817	CD151	NG_007478.1	t1	NM_004357.4	-	CCDS7719.1
LRG_818	SEMA7A	NG_011733.1	t1	NM_003612.3	-	CCDS10262.1
LRG_819	GCNT2	NG_007469.3	t1	NM_145655.3	-	CCDS4513.1
LRG_820	B3GALNT1	NG_007854.1	t1	NM_033169.2	-	CCDS3193.1
LRG_821	AQP3	NG_007476.1	t1	NM_004925.4	-	CCDS6542.1
LRG_822	RHAG	NG_011704.1	t1	NM_000324.2	-	CCDS4927.1
LRG_823	ABCG2	NG_032067.2	t1	NM_004827.2	-	CCDS3628.1
LRG_824	ABCB6	NG_032110.1	t1	NM_005689.2	-	CCDS2436.1
LRG_825	KLF1	NG_013087.1	t1	NM_006563.4	-	CCDS12285.1
LRG_826	GBGT1	NG_033868.1	t1	NM_021996.5	-	CCDS6960.1
LRG_827	SMIM1	NG_033869.1	t1	NM_001163724.2	-	CCDS57966.1
LRG_828	CALR	NG_029662.1	t1	NM_004343.3	-	CCDS12288.1
LRG_829	CYP21A2	NG_007941.3	t1	NM_000500.7	-	CCDS4735.1
LRG_830	TPP1	NG_008653.1	t1	NM_000391.3	-	CCDS7770.1
LRG_831	DNAJC5	NG_029805.1	t1	NM_025219.2	-	CCDS13546.1
LRG_832	CLN6	NG_008764.2	t1	NM_017882.2	-	CCDS10227.1
LRG_833	MFSD8	NG_008657.1	t1	NM_152778.2	-	CCDS3736.1
LRG_834	ATP13A2	NG_009054.1	t1	NM_022089.2	-	CCDS175.1
